job_title,company,industry,skills,experience_level,employment_type,location,salary,posted_date,company_size,tools_preferred,data_source
32,Kirby-Zuniga,Healthcare,"Hugging Face, Scikit-learn, C++, Excel, Azure",Entry,Full-time,"Danielchester, ID",112660-179478,2023-09-22,Mid,"LangChain, KDB+",ai_job_market
33,"Castillo, Campbell and Robinson",Tech,"Keras, PyTorch, AWS, FastAPI, CUDA",Mid,Contract,"Alexandriaburgh, KN",55330-104941,2024-09-30,Startup,"TensorFlow, Scikit-learn",ai_job_market
34,Carter LLC,Finance,"MLflow, Keras, SQL, GCP, Power BI",Senior,Internship,"West Charles, TT",110439-183071,2023-11-25,Startup,PyTorch,ai_job_market
35,Hall Group,Automotive,"GCP, C++, Excel",Entry,Contract,"North Denise, MC",97714-134140,2024-04-01,Large,"TensorFlow, Scikit-learn",ai_job_market
36,Huynh PLC,Finance,"PyTorch, LangChain, R",Mid,Remote,"Kirbyside, LT",87250-156869,2023-12-25,Startup,"Scikit-learn, FastAPI, MLflow",ai_job_market
37,"Smith, Haas and Mendez",Retail,"Excel, SQL, Python",Entry,Contract,"Lake John, AU",77074-163272,2024-11-16,Mid,"Scikit-learn, LangChain, KDB+",ai_job_market
38,"Briggs, Shaw and Berry",E-commerce,"SQL, Hugging Face, TensorFlow",Mid,Remote,"East Ashleyland, PL",116061-159814,2025-05-14,Startup,MLflow,ai_job_market
39,Boyd PLC,Retail,"PyTorch, Power BI, AWS, FastAPI",Senior,Internship,"Port Misty, NL",87411-136106,2024-06-10,Mid,LangChain,ai_job_market
40,"Sanders, Mejia and Townsend",Automotive,"Power BI, PyTorch, GCP, CUDA, Keras, Scikit-learn",Entry,Internship,"Deleonchester, HN",88562-159008,2025-06-27,Mid,"FastAPI, Scikit-learn, LangChain",ai_job_market
41,Hernandez Inc,E-commerce,"NumPy, AWS, Excel, SQL, Keras",Senior,Remote,"Nicoleport, BF",41935-95608,2025-02-08,Mid,"Scikit-learn, TensorFlow, BigQuery",ai_job_market
42,"Parrish, White and Grant",E-commerce,"R, Power BI, CUDA, MLflow",Mid,Full-time,"Kimside, BW",126443-145937,2023-11-10,Startup,TensorFlow,ai_job_market
43,"Carroll, Lucero and Lambert",Healthcare,"NumPy, SQL, Python, Reinforcement Learning, LangChain",Entry,Full-time,"Simsside, TD",99978-189975,2024-09-05,Large,"PyTorch, TensorFlow, FastAPI",ai_job_market
44,"Thomas, Waller and Kelly",Education,"Hugging Face, Flask, TensorFlow, Excel, SQL",Entry,Contract,"South Jeremiah, MX",65214-151832,2025-03-11,Large,"TensorFlow, LangChain, PyTorch",ai_job_market
45,"Franklin, Wright and Berg",Automotive,"Hugging Face, Pandas, CUDA, LangChain, FastAPI",Mid,Internship,"Ramirezmouth, PK",71101-158421,2025-03-16,Mid,KDB+,ai_job_market
46,"Coleman, Gray and Roach",Healthcare,"LangChain, AWS, GCP",Entry,Internship,"New Rachelmouth, IT",119200-129563,2025-02-14,Startup,"FastAPI, MLflow, TensorFlow",ai_job_market
47,Mooney-Decker,Finance,"Scikit-learn, PyTorch, Flask, Azure",Mid,Contract,"Jennyland, TR",122083-203812,2024-08-04,Startup,"PyTorch, BigQuery",ai_job_market
48,Wood LLC,Automotive,"GCP, TensorFlow, Power BI",Entry,Contract,"Port Johnville, MA",144773-159408,2025-02-21,Mid,"MLflow, BigQuery, LangChain",ai_job_market
49,Copeland Group,Education,"TensorFlow, LangChain, PyTorch, Power BI, R",Entry,Remote,"North Josephshire, YE",78317-161397,2024-03-19,Mid,"KDB+, PyTorch, MLflow",ai_job_market
50,Richards PLC,Finance,"Power BI, CUDA, C++, Pandas, SQL, AWS",Mid,Full-time,"Lewismouth, TD",75575-120477,2024-05-07,Large,"FastAPI, KDB+, Scikit-learn",ai_job_market
51,"Melendez, Williams and Williamson",E-commerce,"TensorFlow, Keras, PyTorch, AWS, Scikit-learn",Entry,Full-time,"Steinside, IT",133185-231638,2023-09-27,Large,BigQuery,ai_job_market
52,"Ellis, Crane and Boyle",E-commerce,"Azure, Keras, Scikit-learn, Hugging Face, Excel, R",Entry,Contract,"North Jason, MR",73140-164506,2025-05-30,Mid,"LangChain, KDB+, FastAPI",ai_job_market
53,Foley-Moore,Finance,"Keras, Pandas, Python, FastAPI, CUDA, Scikit-learn",Mid,Contract,"Thomasfort, KG",69031-115150,2025-05-17,Large,MLflow,ai_job_market
54,Wright and Sons,Tech,"R, SQL, Python, PyTorch",Mid,Full-time,"Chavezstad, TG",49382-141727,2024-11-09,Large,"LangChain, BigQuery, MLflow",ai_job_market
55,Williams-Vargas,Healthcare,"Keras, Excel, FastAPI, Azure, R, PyTorch",Senior,Full-time,"Carlland, ME",135916-233596,2024-11-10,Startup,"FastAPI, TensorFlow, BigQuery",ai_job_market
56,Hill-Huff,Tech,"Power BI, LangChain, Flask, Excel, SQL, CUDA",Senior,Remote,"Jessicamouth, PT",149271-215582,2025-04-23,Startup,"BigQuery, PyTorch, TensorFlow",ai_job_market
57,Meyer PLC,Education,"AWS, Excel, Azure",Entry,Internship,"Caitlynmouth, MR",56348-123497,2023-11-16,Mid,"LangChain, Scikit-learn, PyTorch",ai_job_market
58,Boyd-Carlson,Retail,"Excel, AWS, Keras, Azure, FastAPI, R",Senior,Full-time,"Villarrealhaven, KI",69159-139847,2025-02-11,Large,"MLflow, LangChain",ai_job_market
59,Scott-Gardner,Tech,"FastAPI, C++, Excel, Flask, Pandas",Senior,Remote,"North Laurie, BI",78305-162525,2025-06-21,Large,"FastAPI, PyTorch, LangChain",ai_job_market
60,Jackson Group,Finance,"TensorFlow, C++, SQL, Hugging Face, Flask, Power BI",Mid,Internship,"East Juliashire, TR",64238-115477,2023-09-25,Startup,BigQuery,ai_job_market
61,"Sullivan, Silva and Sawyer",Finance,"Power BI, Excel, GCP",Senior,Remote,"North Jonathan, NL",53583-148644,2024-06-27,Mid,MLflow,ai_job_market
62,"Page, Bonilla and Cohen",Retail,"Python, FastAPI, Scikit-learn, Hugging Face, Power BI, Flask",Entry,Remote,"Port Jacobchester, SB",50457-126635,2024-05-08,Startup,LangChain,ai_job_market
63,Young-Wright,Retail,"Hugging Face, Keras, Scikit-learn",Mid,Internship,"Kaylaburgh, NO",97883-172449,2024-10-26,Large,"TensorFlow, LangChain",ai_job_market
64,Patel PLC,E-commerce,"Reinforcement Learning, LangChain, Python",Entry,Remote,"South Jamie, KM",94965-141198,2025-02-17,Startup,FastAPI,ai_job_market
65,"Lopez, Nelson and Meyer",E-commerce,"Azure, Pandas, Power BI, MLflow",Entry,Internship,"Lake Michelleport, RS",81202-154117,2025-01-06,Startup,"PyTorch, TensorFlow, FastAPI",ai_job_market
66,"Harris, Porter and Walter",Retail,"C++, Reinforcement Learning, NumPy, Azure, MLflow, Flask",Mid,Contract,"Port Kristenmouth, SA",106117-199125,2023-12-19,Large,"FastAPI, KDB+",ai_job_market
67,Dominguez and Sons,Automotive,"LangChain, FastAPI, SQL",Senior,Internship,"Rodriguezstad, ET",137229-193525,2024-04-08,Large,"BigQuery, KDB+",ai_job_market
68,Griffith-Garner,Retail,"NumPy, Python, Azure, GCP, C++, Scikit-learn",Senior,Remote,"Meredithview, LS",40995-54162,2024-12-21,Startup,PyTorch,ai_job_market
69,Smith LLC,Healthcare,"Power BI, AWS, NumPy, CUDA, MLflow",Mid,Full-time,"South Tylerhaven, LC",129140-193460,2023-12-09,Mid,"LangChain, PyTorch, MLflow",ai_job_market
70,Smith-Jones,Education,"LangChain, PyTorch, Flask",Mid,Full-time,"South Karenville, BB",86690-120765,2025-06-15,Mid,BigQuery,ai_job_market
71,"Maddox, Steele and Jones",Retail,"Flask, Scikit-learn, NumPy",Entry,Internship,"Billyfort, YE",85816-149983,2025-03-12,Mid,"FastAPI, PyTorch",ai_job_market
72,Williams PLC,Healthcare,"SQL, FastAPI, LangChain, Scikit-learn, NumPy, TensorFlow",Senior,Remote,"New Jefferyfort, TG",60805-99890,2024-02-12,Startup,"FastAPI, LangChain",ai_job_market
73,"Hurst, Manning and Wood",Education,"Azure, Excel, TensorFlow",Senior,Remote,"Petersenborough, VN",118377-137651,2025-05-02,Large,"PyTorch, BigQuery, Scikit-learn",ai_job_market
74,"Howard, Carr and Joseph",Automotive,"C++, MLflow, CUDA, Hugging Face",Mid,Internship,"Leeberg, ME",81382-175328,2023-11-28,Large,"MLflow, PyTorch",ai_job_market
75,Lewis-Smith,Automotive,"MLflow, NumPy, R, C++, PyTorch",Senior,Remote,"North Christopherfurt, LR",132555-209536,2025-09-09,Startup,KDB+,ai_job_market
76,Luna and Sons,Automotive,"R, Python, Flask",Mid,Contract,"Weberland, TL",54185-86768,2023-12-06,Mid,"FastAPI, TensorFlow, PyTorch",ai_job_market
77,King-Sheppard,E-commerce,"FastAPI, Hugging Face, PyTorch",Mid,Internship,"Zamorafurt, UA",101020-182230,2025-07-03,Startup,PyTorch,ai_job_market
78,Meyer-Shaffer,E-commerce,"Pandas, Flask, FastAPI, Reinforcement Learning",Mid,Internship,"Sharpborough, DM",49529-68621,2024-02-21,Startup,"LangChain, PyTorch, Scikit-learn",ai_job_market
79,"Ellis, Page and Smith",Tech,"Reinforcement Learning, Flask, NumPy, LangChain",Entry,Contract,"North Carriestad, IR",88756-103530,2024-10-12,Startup,LangChain,ai_job_market
80,Martinez-Fitzgerald,Healthcare,"AWS, TensorFlow, Flask, Power BI",Senior,Internship,"South Charles, CI",108574-194850,2025-01-20,Large,KDB+,ai_job_market
81,Johnson Inc,Education,"Reinforcement Learning, Python, Pandas, TensorFlow",Mid,Internship,"Lake Kristen, AZ",111184-166588,2025-08-03,Large,"Scikit-learn, MLflow, PyTorch",ai_job_market
82,Camacho PLC,Finance,"R, C++, GCP, Hugging Face, LangChain, TensorFlow",Entry,Full-time,"Anthonyland, GQ",120456-210505,2024-01-14,Large,"PyTorch, Scikit-learn, BigQuery",ai_job_market
83,Sweeney-Griffith,Finance,"Flask, Azure, C++, Excel",Entry,Internship,"Michaelchester, MK",86740-124608,2025-09-17,Mid,MLflow,ai_job_market
84,"Stafford, Owens and Thompson",Education,"MLflow, Hugging Face, Python, Scikit-learn",Entry,Full-time,"Lake Debra, AM",78116-122008,2025-04-25,Mid,"MLflow, LangChain, KDB+",ai_job_market
85,"Gonzalez, Watts and Thompson",E-commerce,"FastAPI, SQL, Flask, CUDA, C++, Scikit-learn",Mid,Contract,"New Danielburgh, RU",42962-75277,2024-11-01,Startup,"FastAPI, LangChain",ai_job_market
86,Graham Group,Tech,"LangChain, FastAPI, PyTorch, CUDA, AWS",Senior,Full-time,"Lake Melissaville, PL",51640-64834,2024-03-21,Large,"BigQuery, Scikit-learn, MLflow",ai_job_market
87,Ward-Allen,Education,"C++, Power BI, NumPy",Mid,Contract,"Jeffreyburgh, SC",98118-167073,2024-09-10,Large,"LangChain, BigQuery",ai_job_market
88,"Garrett, Hernandez and Anderson",Finance,"FastAPI, Scikit-learn, LangChain",Mid,Internship,"Whiteville, SE",140819-222611,2023-11-16,Mid,"LangChain, MLflow",ai_job_market
89,Long Inc,Finance,"Flask, Python, Power BI, CUDA",Entry,Internship,"Jacksonmouth, UZ",82496-127505,2025-03-23,Startup,"FastAPI, LangChain, BigQuery",ai_job_market
90,Cummings-Nash,Finance,"Python, SQL, C++, FastAPI",Entry,Internship,"Adamton, HR",124249-174855,2023-10-17,Startup,"KDB+, LangChain",ai_job_market
91,"Sawyer, Donovan and Vargas",Automotive,"TensorFlow, Power BI, FastAPI, LangChain, Scikit-learn, Python",Mid,Contract,"Lake Erica, NL",81426-145890,2023-10-19,Mid,"BigQuery, KDB+, LangChain",ai_job_market
92,"Stewart, Gutierrez and Simpson",Tech,"GCP, LangChain, Keras",Entry,Internship,"South Paige, VC",51104-130405,2025-03-21,Large,"LangChain, FastAPI, Scikit-learn",ai_job_market
93,Jones-Marshall,Finance,"Excel, TensorFlow, Pandas, CUDA",Entry,Remote,"Scottberg, MG",143177-155682,2025-08-26,Startup,"MLflow, FastAPI, TensorFlow",ai_job_market
94,Murphy-Rosales,Education,"FastAPI, PyTorch, CUDA, Flask, Scikit-learn",Mid,Remote,"West Jesse, NG",139393-162837,2025-07-13,Large,"LangChain, BigQuery",ai_job_market
95,Solis-Thornton,Healthcare,"Hugging Face, Python, FastAPI, CUDA, GCP",Entry,Full-time,"East Autumn, AM",111746-137892,2024-10-10,Mid,"LangChain, BigQuery",ai_job_market
96,Michael Ltd,Healthcare,"PyTorch, MLflow, Scikit-learn, Excel, Pandas",Senior,Full-time,"Maldonadoville, PL",107083-124486,2025-08-09,Startup,LangChain,ai_job_market
97,Alexander and Sons,Education,"Pandas, R, FastAPI, AWS, MLflow, Python",Senior,Full-time,"Richardside, PY",126865-190621,2024-11-15,Startup,"LangChain, FastAPI",ai_job_market
98,"Travis, Fletcher and Rodriguez",Finance,"Python, SQL, Power BI, Scikit-learn, FastAPI",Mid,Contract,"Port Julieburgh, KW",127896-227744,2023-12-18,Large,"FastAPI, KDB+, LangChain",ai_job_market
99,Lozano-Hill,Healthcare,"Keras, NumPy, Excel, C++, Pandas",Entry,Contract,"South Stephanieville, BS",133789-170501,2024-05-22,Large,"TensorFlow, BigQuery",ai_job_market
100,"Farmer, Leach and Norris",Retail,"Keras, Power BI, MLflow, AWS",Mid,Contract,"Williamsbury, DO",126422-179630,2025-09-03,Mid,TensorFlow,ai_job_market
101,Price-Nichols,Healthcare,"Pandas, MLflow, Hugging Face, SQL",Entry,Contract,"South Fredview, PL",53156-131761,2025-07-22,Startup,TensorFlow,ai_job_market
102,"Gonzalez, Jackson and Williams",Retail,"Hugging Face, LangChain, Azure, Scikit-learn, Flask",Senior,Internship,"Heatherport, DO",76985-169306,2025-08-09,Large,"KDB+, BigQuery, MLflow",ai_job_market
103,"Dodson, Palmer and Huber",Education,"Python, Pandas, NumPy, MLflow",Entry,Full-time,"Alejandromouth, CU",129308-160166,2025-02-26,Mid,KDB+,ai_job_market
104,Morris-Sanchez,Finance,"Power BI, GCP, Scikit-learn",Senior,Internship,"New James, CR",112263-190554,2025-03-21,Mid,TensorFlow,ai_job_market
105,Cobb-Lindsey,E-commerce,"FastAPI, TensorFlow, NumPy, AWS, Azure",Entry,Contract,"West Madison, QA",147332-158887,2024-11-19,Mid,"LangChain, Scikit-learn",ai_job_market
106,Ramirez-Goodwin,Automotive,"CUDA, Pandas, GCP, LangChain, Azure, TensorFlow",Mid,Full-time,"Tanyachester, TW",54559-121736,2025-04-04,Mid,"KDB+, MLflow",ai_job_market
107,Duran PLC,Healthcare,"Keras, GCP, SQL",Senior,Remote,"New David, EG",91427-154726,2023-10-03,Mid,"BigQuery, FastAPI",ai_job_market
108,Kaiser Group,Tech,"Power BI, FastAPI, Reinforcement Learning, SQL, Keras, AWS",Senior,Contract,"South Patricktown, NO",120983-167455,2025-03-30,Large,"TensorFlow, Scikit-learn, MLflow",ai_job_market
109,Garcia PLC,Education,"AWS, Hugging Face, Flask, CUDA",Mid,Contract,"Sanfordmouth, GW",108083-168433,2024-02-06,Large,BigQuery,ai_job_market
110,Steele-Norman,Healthcare,"Azure, MLflow, Excel, CUDA",Mid,Contract,"Elainefurt, BS",43248-86711,2024-06-20,Mid,Scikit-learn,ai_job_market
111,Garcia Ltd,Education,"SQL, Flask, NumPy, Power BI, Excel",Entry,Remote,"Brownstad, LU",73459-87186,2024-09-08,Large,KDB+,ai_job_market
112,Hill LLC,Healthcare,"GCP, Azure, Reinforcement Learning, TensorFlow, CUDA, FastAPI",Mid,Contract,"Lake Christopher, QA",94345-157493,2024-07-24,Large,Scikit-learn,ai_job_market
113,"Morales, Thomas and Miller",Healthcare,"Python, FastAPI, R",Mid,Full-time,"Millermouth, GY",113621-179602,2024-08-28,Mid,"MLflow, Scikit-learn, FastAPI",ai_job_market
114,Kelly-Novak,Finance,"Scikit-learn, Pandas, GCP, Python, R",Entry,Full-time,"Nicoleside, AD",43828-137950,2025-05-20,Mid,KDB+,ai_job_market
115,Martin-Hernandez,Tech,"AWS, Python, GCP, R, C++, FastAPI",Senior,Remote,"North Patrick, KE",118046-186961,2025-06-17,Startup,"Scikit-learn, TensorFlow",ai_job_market
116,Price-Dean,Education,"NumPy, LangChain, Excel, Keras",Entry,Full-time,"Dennistown, IQ",143236-210339,2024-03-17,Large,MLflow,ai_job_market
117,Ruiz Inc,Automotive,"NumPy, Scikit-learn, Keras, TensorFlow, Hugging Face, Excel",Entry,Contract,"Rodriguezfurt, LI",70478-154317,2025-05-07,Large,"LangChain, KDB+",ai_job_market
118,"Hudson, Burton and Campbell",E-commerce,"TensorFlow, R, Hugging Face",Mid,Internship,"Sullivanburgh, BJ",69403-123368,2024-04-05,Startup,Scikit-learn,ai_job_market
119,Roberson Inc,Automotive,"Python, Power BI, Pandas, MLflow, Keras, Scikit-learn",Mid,Contract,"New Justin, ZW",143437-196807,2024-01-01,Mid,"MLflow, PyTorch, FastAPI",ai_job_market
120,Gutierrez PLC,Retail,"PyTorch, GCP, NumPy, Python, Pandas, Keras",Entry,Contract,"West Fredside, PW",59290-84926,2025-08-10,Mid,"TensorFlow, KDB+, BigQuery",ai_job_market
121,"King, Chambers and Brown",Retail,"SQL, Excel, Python",Mid,Remote,"Eriktown, GT",124112-141184,2024-10-08,Mid,"Scikit-learn, MLflow",ai_job_market
122,Shannon LLC,Finance,"GCP, Keras, Azure, SQL, Scikit-learn, NumPy",Entry,Contract,"Port Robert, TR",93411-137526,2024-07-10,Large,BigQuery,ai_job_market
123,Thompson-Norris,Finance,"Azure, TensorFlow, PyTorch, AWS, Flask",Senior,Contract,"Davidfort, CU",98592-132404,2024-10-08,Startup,"KDB+, MLflow",ai_job_market
124,Davis and Sons,E-commerce,"Hugging Face, Power BI, SQL, FastAPI, C++, Reinforcement Learning",Mid,Internship,"Carrollland, SE",109693-136678,2023-10-31,Large,KDB+,ai_job_market
125,"Reed, Garcia and French",E-commerce,"Keras, CUDA, TensorFlow",Mid,Full-time,"West Richardborough, BE",128381-173902,2025-08-03,Startup,"BigQuery, TensorFlow",ai_job_market
126,Anderson-Cruz,Tech,"SQL, AWS, Power BI",Mid,Remote,"Jasonshire, TH",114132-129565,2025-04-07,Large,PyTorch,ai_job_market
127,King PLC,Finance,"NumPy, CUDA, Scikit-learn, Keras, Excel, Pandas",Mid,Contract,"East Sheriton, SV",117985-188287,2024-03-10,Large,Scikit-learn,ai_job_market
128,Baker-Gomez,Finance,"NumPy, PyTorch, FastAPI, CUDA, Azure",Entry,Remote,"Sarahview, SE",98649-172840,2024-11-22,Large,"LangChain, KDB+",ai_job_market
129,"Patterson, Bruce and Herring",Retail,"Keras, Pandas, MLflow, Scikit-learn",Mid,Remote,"Davechester, LR",132259-223631,2024-12-31,Mid,"PyTorch, KDB+, LangChain",ai_job_market
130,Jackson Inc,Education,"MLflow, NumPy, Scikit-learn, Azure, Keras",Senior,Internship,"Allenton, UG",92116-122876,2025-03-11,Startup,Scikit-learn,ai_job_market
131,"Thompson, Lewis and Gonzalez",E-commerce,"AWS, Hugging Face, Python, Reinforcement Learning, Scikit-learn, LangChain",Entry,Internship,"Westland, KM",111421-135658,2024-09-23,Large,BigQuery,ai_job_market
132,Mclean Inc,Healthcare,"Keras, Pandas, TensorFlow, CUDA",Mid,Remote,"Shermanshire, MM",64185-77841,2025-02-09,Large,"KDB+, FastAPI",ai_job_market
133,Moore Inc,Automotive,"Power BI, CUDA, Scikit-learn",Senior,Contract,"Jamesborough, GB",114287-213324,2025-04-23,Mid,"BigQuery, LangChain, FastAPI",ai_job_market
134,Flores-Dalton,Automotive,"CUDA, Reinforcement Learning, TensorFlow, Power BI, FastAPI, LangChain",Senior,Internship,"East Edward, MV",67967-136114,2025-09-01,Mid,TensorFlow,ai_job_market
135,Nguyen and Sons,Healthcare,"C++, MLflow, TensorFlow, NumPy, Excel, R",Entry,Full-time,"Youngborough, CF",119699-195649,2024-02-29,Mid,"PyTorch, FastAPI",ai_job_market
136,Russell Inc,Finance,"Excel, CUDA, GCP, Scikit-learn, Python",Senior,Remote,"Morrowview, RS",105893-197119,2024-12-30,Mid,PyTorch,ai_job_market
137,Castillo and Sons,Education,"NumPy, MLflow, R, C++",Mid,Full-time,"North Sheilamouth, JP",144509-185639,2024-09-02,Mid,"FastAPI, PyTorch, TensorFlow",ai_job_market
138,Price PLC,Finance,"AWS, GCP, R, Power BI",Senior,Contract,"Randallside, CZ",125979-196585,2024-03-05,Startup,"BigQuery, Scikit-learn",ai_job_market
139,"Payne, Vasquez and Arnold",Healthcare,"Azure, Hugging Face, C++, Scikit-learn, Flask, Pandas",Mid,Full-time,"Danielfurt, GW",96804-161412,2024-01-14,Large,"LangChain, PyTorch, MLflow",ai_job_market
140,Roth LLC,Retail,"SQL, AWS, Pandas, PyTorch, LangChain, C++",Senior,Contract,"Royville, BG",145387-192153,2025-08-26,Startup,BigQuery,ai_job_market
141,Bryant and Sons,Automotive,"AWS, Pandas, NumPy, LangChain, GCP, Flask",Entry,Contract,"Port Allisonfurt, SN",44646-126597,2025-06-07,Large,"Scikit-learn, TensorFlow",ai_job_market
142,"Morris, Williams and Campbell",Healthcare,"C++, PyTorch, NumPy, LangChain, AWS, Keras",Mid,Remote,"South Heatherside, KZ",61799-124735,2024-05-14,Startup,TensorFlow,ai_job_market
143,Perez Ltd,Healthcare,"MLflow, LangChain, Power BI, Scikit-learn, Pandas",Entry,Remote,"West Susan, NG",142495-193478,2025-04-04,Large,"FastAPI, KDB+",ai_job_market
144,Smith-Hernandez,Education,"NumPy, TensorFlow, GCP, LangChain",Mid,Contract,"Shelbyberg, AO",52111-123116,2024-01-05,Startup,"Scikit-learn, KDB+",ai_job_market
